TimeGenerated,UserPrincipalName,AppDisplayName,IPAddress,City,Country,ResultType,ResultDescription,DeviceOS,Browser
2026-08-03T07:35:55Z,noah.bishop@cloudora.io,Microsoft 365,203.0.113.13,London,United Kingdom,50126,Invalid username or password,Android 14,Chrome Mobile
2026-08-03T07:36:19Z,noah.bishop@cloudora.io,Microsoft Teams,203.0.113.13,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T07:37:21Z,emma.hayes@cloudora.io,Microsoft 365,203.0.113.12,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T07:41:12Z,finn.gale@cloudora.io,Cloudora Admin Portal,198.51.100.24,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T08:02:49Z,dina.said@cloudora.io,Cloudora Admin Portal,203.0.113.12,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T08:06:36Z,lucas.ford@cloudora.io,Outlook Web,203.0.113.10,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T08:13:46Z,seth.lane@cloudora.io,Outlook Web,192.0.2.32,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-03T08:19:50Z,emma.hayes@cloudora.io,Outlook Web,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T08:20:05Z,hugo.marsh@cloudora.io,Cloudora Admin Portal,198.51.100.20,Manchester,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T08:21:28Z,seth.lane@cloudora.io,Azure Portal,192.0.2.32,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-03T08:28:09Z,isla.grant@cloudora.io,Cloudora Admin Portal,203.0.113.15,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T08:36:54Z,chloe.price@cloudora.io,Microsoft Teams,203.0.113.17,London,United Kingdom,50126,Invalid username or password,macOS 14,Safari 17
2026-08-03T08:37:30Z,chloe.price@cloudora.io,Azure Portal,203.0.113.17,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T08:41:10Z,ethan.wells@cloudora.io,Microsoft 365,192.0.2.30,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T08:42:14Z,mira.shah@cloudora.io,Microsoft Teams,192.0.2.31,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-03T08:43:51Z,cole.burke@cloudora.io,SharePoint Online,192.0.2.32,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T08:50:46Z,sofia.marino@cloudora.io,Azure Portal,203.0.113.17,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T08:52:12Z,cole.burke@cloudora.io,Outlook Web,192.0.2.32,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T08:53:12Z,chloe.price@cloudora.io,Microsoft Teams,203.0.113.17,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T08:54:12Z,leah.stone@cloudora.io,Microsoft 365,203.0.113.17,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T09:04:54Z,emma.hayes@cloudora.io,Microsoft 365,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T09:06:14Z,olivia.kaur@cloudora.io,Cloudora Admin Portal,203.0.113.12,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T09:20:50Z,liam.doyle@cloudora.io,Outlook Web,203.0.113.17,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T09:23:08Z,mira.shah@cloudora.io,SharePoint Online,192.0.2.31,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T09:23:53Z,lucas.ford@cloudora.io,Microsoft 365,203.0.113.10,London,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T09:30:15Z,maya.chen@cloudora.io,SharePoint Online,203.0.113.11,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T09:37:22Z,omar.farah@cloudora.io,Outlook Web,203.0.113.10,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T09:38:50Z,adam.clark@cloudora.io,SharePoint Online,192.0.2.30,Austin,United States,0,Success,Windows 10,Edge 126
2026-08-03T09:39:11Z,dina.said@cloudora.io,Microsoft Teams,203.0.113.12,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T09:53:33Z,hugo.marsh@cloudora.io,Cloudora Admin Portal,198.51.100.20,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T09:57:48Z,emma.hayes@cloudora.io,SharePoint Online,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T10:01:07Z,daniel.reeve@cloudora.io,Azure Portal,203.0.113.13,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T10:01:30Z,ryan.boyd@cloudora.io,Outlook Web,203.0.113.10,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T10:02:43Z,nina.cole@cloudora.io,SharePoint Online,198.51.100.22,Manchester,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T10:03:34Z,alba.vega@cloudora.io,Outlook Web,198.51.100.22,Manchester,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T10:12:00Z,seth.lane@cloudora.io,Microsoft 365,192.0.2.32,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-03T10:16:45Z,dina.said@cloudora.io,Azure Portal,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T10:27:54Z,emma.hayes@cloudora.io,SharePoint Online,203.0.113.12,London,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T10:28:09Z,james.holt@cloudora.io,Outlook Web,198.51.100.20,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T10:30:19Z,omar.farah@cloudora.io,SharePoint Online,203.0.113.10,London,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T10:30:20Z,lena.voss@cloudora.io,Outlook Web,192.0.2.32,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-03T10:30:50Z,ethan.wells@cloudora.io,Outlook Web,192.0.2.30,Austin,United States,0,Success,Windows 10,Edge 126
2026-08-03T10:36:52Z,isla.grant@cloudora.io,Outlook Web,203.0.113.15,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T10:42:21Z,aria.reid@cloudora.io,Outlook Web,203.0.113.13,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T10:42:24Z,dean.page@cloudora.io,Azure Portal,192.0.2.31,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-03T10:45:18Z,jude.ross@cloudora.io,SharePoint Online,203.0.113.16,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T10:50:48Z,daniel.reeve@cloudora.io,Microsoft Teams,203.0.113.13,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T10:51:17Z,alba.vega@cloudora.io,Outlook Web,198.51.100.22,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T10:53:04Z,chloe.price@cloudora.io,Azure Portal,203.0.113.17,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T10:55:01Z,freya.lynn@cloudora.io,Microsoft 365,198.51.100.20,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T10:56:00Z,isla.grant@cloudora.io,Outlook Web,203.0.113.15,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T10:56:06Z,maya.chen@cloudora.io,Outlook Web,203.0.113.11,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T10:57:01Z,freya.lynn@cloudora.io,Microsoft Teams,198.51.100.20,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T10:59:56Z,mira.shah@cloudora.io,Azure Portal,192.0.2.31,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-03T11:10:31Z,mira.shah@cloudora.io,Azure Portal,192.0.2.31,Austin,United States,0,Success,Windows 10,Edge 126
2026-08-03T11:23:34Z,ruth.dean@cloudora.io,Microsoft 365,192.0.2.32,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T11:25:35Z,kian.patel@cloudora.io,Cloudora Admin Portal,192.0.2.31,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-03T11:28:26Z,adam.clark@cloudora.io,Microsoft Teams,192.0.2.30,Austin,United States,0,Success,Windows 10,Edge 126
2026-08-03T11:28:54Z,dina.said@cloudora.io,Microsoft Teams,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T11:29:08Z,finn.gale@cloudora.io,SharePoint Online,198.51.100.24,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T11:32:43Z,felix.hart@cloudora.io,SharePoint Online,192.0.2.30,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T11:34:02Z,noah.bishop@cloudora.io,Cloudora Admin Portal,203.0.113.13,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T11:35:12Z,ethan.wells@cloudora.io,Cloudora Admin Portal,192.0.2.30,Austin,United States,0,Success,Windows 10,Edge 126
2026-08-03T11:36:35Z,jude.ross@cloudora.io,Microsoft 365,203.0.113.16,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T11:42:37Z,zara.aziz@cloudora.io,Azure Portal,203.0.113.16,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T11:43:21Z,adam.clark@cloudora.io,Outlook Web,192.0.2.30,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T11:45:31Z,ethan.wells@cloudora.io,Microsoft 365,192.0.2.30,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T12:03:56Z,gwen.muir@cloudora.io,SharePoint Online,203.0.113.12,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T12:05:27Z,zara.aziz@cloudora.io,SharePoint Online,203.0.113.16,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T12:07:39Z,sofia.marino@cloudora.io,Outlook Web,203.0.113.17,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T12:16:20Z,tara.kemp@cloudora.io,Azure Portal,203.0.113.14,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T12:17:10Z,adam.clark@cloudora.io,Microsoft Teams,192.0.2.30,Austin,United States,0,Success,Windows 10,Edge 126
2026-08-03T12:18:54Z,james.holt@cloudora.io,Outlook Web,198.51.100.20,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T12:21:25Z,rhys.owen@cloudora.io,Microsoft Teams,203.0.113.13,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T12:23:12Z,rhys.owen@cloudora.io,Azure Portal,203.0.113.13,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T12:29:34Z,felix.hart@cloudora.io,Outlook Web,192.0.2.30,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T12:33:07Z,kian.patel@cloudora.io,Cloudora Admin Portal,192.0.2.31,Austin,United States,0,Success,Android 14,Chrome Mobile
2026-08-03T12:34:52Z,amelia.frost@cloudora.io,Azure Portal,203.0.113.14,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T12:39:05Z,james.holt@cloudora.io,Cloudora Admin Portal,198.51.100.20,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T12:41:14Z,leah.stone@cloudora.io,Azure Portal,203.0.113.17,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T12:42:31Z,jude.ross@cloudora.io,SharePoint Online,203.0.113.16,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T12:44:22Z,jude.ross@cloudora.io,Cloudora Admin Portal,203.0.113.16,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T12:47:19Z,cole.burke@cloudora.io,SharePoint Online,192.0.2.32,Austin,United States,0,Success,Windows 10,Edge 126
2026-08-03T12:51:13Z,isla.grant@cloudora.io,SharePoint Online,203.0.113.15,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T12:54:50Z,mira.shah@cloudora.io,SharePoint Online,192.0.2.31,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-03T12:58:10Z,finn.gale@cloudora.io,Cloudora Admin Portal,198.51.100.24,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T12:59:02Z,aria.reid@cloudora.io,Outlook Web,203.0.113.13,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T13:02:40Z,dean.page@cloudora.io,Outlook Web,192.0.2.31,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-03T13:03:06Z,priya.nair@cloudora.io,Cloudora Admin Portal,203.0.113.10,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T13:05:15Z,freya.lynn@cloudora.io,SharePoint Online,198.51.100.20,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T13:08:17Z,gwen.muir@cloudora.io,SharePoint Online,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T13:09:24Z,hugo.marsh@cloudora.io,Microsoft Teams,198.51.100.20,Manchester,United Kingdom,50126,Invalid username or password,iOS 17,Mobile Safari
2026-08-03T13:10:12Z,hugo.marsh@cloudora.io,Azure Portal,198.51.100.20,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T13:11:04Z,hugo.marsh@cloudora.io,SharePoint Online,198.51.100.20,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T13:11:17Z,rhys.owen@cloudora.io,Azure Portal,203.0.113.13,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T13:19:00Z,dean.page@cloudora.io,Cloudora Admin Portal,192.0.2.31,Austin,United States,0,Success,Android 14,Chrome Mobile
2026-08-03T13:19:09Z,isla.grant@cloudora.io,Azure Portal,203.0.113.15,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T13:21:48Z,felix.hart@cloudora.io,SharePoint Online,192.0.2.30,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T13:26:07Z,sofia.marino@cloudora.io,Cloudora Admin Portal,203.0.113.17,London,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T13:26:12Z,omar.farah@cloudora.io,Microsoft 365,203.0.113.10,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T13:36:52Z,aria.reid@cloudora.io,Microsoft Teams,203.0.113.13,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T13:40:28Z,olivia.kaur@cloudora.io,Outlook Web,203.0.113.12,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T13:54:16Z,jude.ross@cloudora.io,Azure Portal,203.0.113.16,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T13:56:15Z,ethan.wells@cloudora.io,SharePoint Online,192.0.2.30,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T13:56:37Z,dina.said@cloudora.io,Cloudora Admin Portal,203.0.113.12,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T13:57:37Z,emma.hayes@cloudora.io,Microsoft Teams,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T13:58:08Z,aria.reid@cloudora.io,Outlook Web,203.0.113.13,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T13:58:18Z,felix.hart@cloudora.io,Cloudora Admin Portal,192.0.2.30,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T14:08:16Z,ryan.boyd@cloudora.io,Microsoft Teams,203.0.113.10,London,United Kingdom,50126,Invalid username or password,Windows 11,Chrome 126
2026-08-03T14:08:41Z,ryan.boyd@cloudora.io,Microsoft Teams,203.0.113.10,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T14:10:43Z,rhys.owen@cloudora.io,Azure Portal,203.0.113.13,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T14:13:58Z,ryan.boyd@cloudora.io,Azure Portal,203.0.113.10,London,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T14:16:22Z,nina.cole@cloudora.io,Cloudora Admin Portal,198.51.100.22,Manchester,United Kingdom,0,Success,Windows 10,Edge 126
2026-08-03T14:20:10Z,freya.lynn@cloudora.io,Microsoft Teams,198.51.100.20,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
